Image,Depth_level,Useful_pixels(%)
000000005425.jpg,2,81.9105
000000005430.jpg,2,91.0315
000000005443.jpg,2,54.0456
000000005459.jpg,0,100.0
000000005471.jpg,2,79.7332
000000005476.jpg,2,58.297
000000005482.jpg,4,32.3003
000000005483.jpg,6,31.1254
000000005502.jpg,1,99.9673
000000005505.jpg,3,45.6567
000000005508.jpg,1,94.8695
000000005513.jpg,0,99.7751
000000005535.jpg,2,60.526
000000005559.jpg,3,69.7983
000000005569.jpg,1,89.2944
000000005587.jpg,0,100.0
000000005589.jpg,5,58.5957
000000005599.jpg,2,47.8672
000000005601.jpg,4,44.0669
000000005608.jpg,1,100.0
000000005614.jpg,2,89.5298
000000005619.jpg,4,73.7686
000000005620.jpg,3,56.003
000000005632.jpg,1,95.8343
000000005638.jpg,1,95.1699
000000005641.jpg,1,79.4398
000000005644.jpg,0,99.3501
000000005652.jpg,0,100.0
000000005670.jpg,1,91.5
000000005673.jpg,1,85.3994
000000005683.jpg,1,53.4995
000000005684.jpg,2,69.9993
000000005688.jpg,2,58.3981
000000005689.jpg,3,81.6693
000000005699.jpg,1,89.6258
000000005701.jpg,2,72.4421
000000005713.jpg,2,85.2858
000000005715.jpg,1,96.8037
000000005728.jpg,1,82.2012
000000005736.jpg,5,25.1105
000000005740.jpg,2,72.5039
000000005756.jpg,3,68.083
000000005769.jpg,7,5.8363
000000005802.jpg,1,99.9312
000000005811.jpg,1,68.1755
000000005823.jpg,1,86.8422
000000005828.jpg,2,80.6743
000000005860.jpg,4,76.2192
000000005879.jpg,5,36.2833
000000005882.jpg,3,81.9628
000000005883.jpg,4,33.1952
000000005906.jpg,1,100.0
000000005915.jpg,1,99.908
000000005916.jpg,0,100.0
000000005917.jpg,1,98.2858
000000005933.jpg,1,69.7007
000000005946.jpg,1,100.0
000000005961.jpg,0,99.5739
000000005962.jpg,1,75.891
000000006004.jpg,4,32.099
000000006005.jpg,0,100.0
000000006010.jpg,2,65.3932
000000006026.jpg,0,99.9964
000000006028.jpg,1,82.8853
000000006031.jpg,1,84.2672
000000006033.jpg,1,83.6146
000000006041.jpg,1,86.6794
000000006042.jpg,2,90.3258
000000006051.jpg,1,92.8833
000000006053.jpg,3,69.3058
000000006057.jpg,1,99.5217
000000006074.jpg,2,63.2516
000000006075.jpg,2,48.46
000000006101.jpg,0,100.0
000000006107.jpg,3,47.378
000000006140.jpg,0,100.0
000000006148.jpg,1,100.0
000000006151.jpg,1,98.1111
000000006155.jpg,1,92.6788
000000006180.jpg,2,89.2795
000000006189.jpg,1,100.0
000000006190.jpg,1,93.5852
000000006200.jpg,2,72.9603
000000006216.jpg,0,100.0
000000006225.jpg,1,100.0
000000006233.jpg,1,82.626
000000006253.jpg,1,90.2038
000000006262.jpg,0,100.0
000000006268.jpg,1,100.0
000000006287.jpg,1,94.323
000000006293.jpg,0,99.6019
000000006295.jpg,2,60.053
000000006318.jpg,1,76.8275
000000006327.jpg,3,67.1898
000000006332.jpg,1,87.8209
000000006334.jpg,3,64.8555
000000006338.jpg,0,99.1273
000000006339.jpg,1,100.0
000000006357.jpg,2,72.5358
000000006358.jpg,1,100.0
000000006364.jpg,1,79.1405
000000006379.jpg,1,68.704
000000006380.jpg,1,81.3188
000000006393.jpg,1,100.0
000000006407.jpg,0,99.4432
000000006409.jpg,1,81.2395
000000006414.jpg,3,37.5228
000000006417.jpg,4,57.1867
000000006421.jpg,5,24.1614
000000006424.jpg,2,69.278
000000006432.jpg,1,90.8945
000000006465.jpg,5,32.6543
000000006484.jpg,0,99.7116
000000006489.jpg,0,100.0
000000006491.jpg,1,64.0226
000000006517.jpg,2,53.5986
000000006520.jpg,1,97.4593
000000006522.jpg,5,19.3161
000000006531.jpg,0,99.3936
000000006539.jpg,5,19.0541
000000006541.jpg,1,99.9821
000000006562.jpg,1,75.3067
000000006572.jpg,0,100.0
000000006578.jpg,1,92.6422
000000006579.jpg,3,93.0073
000000006580.jpg,0,99.5635
000000006590.jpg,3,75.4271
000000006593.jpg,1,98.785
000000006602.jpg,2,83.2764
000000006603.jpg,2,63.5246
000000006627.jpg,1,100.0
000000006632.jpg,2,100.0
000000006640.jpg,0,100.0
000000006658.jpg,3,75.7374
000000006662.jpg,1,89.0276
000000006664.jpg,0,100.0
000000006675.jpg,1,100.0
000000006692.jpg,0,100.0
000000006709.jpg,1,78.151
000000006710.jpg,1,99.6683
000000006712.jpg,1,85.5882
000000006715.jpg,2,61.8223
000000006719.jpg,1,68.9205
000000006744.jpg,1,87.9108
000000006747.jpg,2,88.9587
000000006748.jpg,3,91.5033
000000006749.jpg,0,100.0
000000006760.jpg,0,100.0
000000006764.jpg,5,25.1793
000000006777.jpg,2,100.0
000000006780.jpg,2,74.61
000000006783.jpg,0,98.2659
000000006789.jpg,8,2.3847
000000006790.jpg,1,80.1128
000000006811.jpg,2,60.4724
000000006824.jpg,1,88.5803
000000006846.jpg,1,98.6922
000000006847.jpg,3,99.89
000000006860.jpg,1,96.7737
000000006862.jpg,2,84.406
000000006864.jpg,1,76.6767
000000006870.jpg,1,75.1426
000000006873.jpg,2,86.6852
000000006896.jpg,1,81.252
000000006901.jpg,1,73.6214
000000006906.jpg,2,99.999
000000006920.jpg,1,82.0426
000000006921.jpg,1,100.0
000000006935.jpg,1,91.8724
000000006941.jpg,1,93.9504
000000006943.jpg,2,90.2853
000000006945.jpg,1,100.0
000000006957.jpg,2,96.0979
000000006964.jpg,0,100.0
000000006973.jpg,2,99.5653
000000006981.jpg,2,90.7737
000000006996.jpg,1,74.9832
000000006998.jpg,3,31.2324
000000007023.jpg,3,50.257
000000007035.jpg,0,100.0
000000007049.jpg,2,80.4069
000000007050.jpg,1,94.5908
000000007069.jpg,1,99.2085
000000007072.jpg,1,80.4439
000000007103.jpg,0,99.3253
000000007104.jpg,2,51.8787
000000007115.jpg,0,100.0
000000007116.jpg,4,54.454
000000007123.jpg,1,99.4626
000000007124.jpg,0,99.499
000000007125.jpg,1,50.1496
000000007129.jpg,1,65.6781
000000007149.jpg,1,94.3644
000000007159.jpg,2,60.5836
000000007167.jpg,1,90.2093
000000007178.jpg,2,54.4705
000000007201.jpg,3,39.9411
000000007207.jpg,1,79.4603
000000007221.jpg,1,88.0179
000000007228.jpg,3,51.4544
000000007232.jpg,1,83.6836
000000007253.jpg,0,100.0
000000007256.jpg,2,85.7099
000000007260.jpg,2,51.6393
000000007274.jpg,1,100.0
000000007275.jpg,3,58.9598
000000007277.jpg,1,98.1291
000000007297.jpg,1,83.7531
000000007298.jpg,1,76.5667
000000007304.jpg,0,100.0
000000007307.jpg,0,100.0
000000007318.jpg,1,88.25
000000007320.jpg,0,100.0
000000007325.jpg,1,83.216
000000007333.jpg,1,86.2661
000000007355.jpg,1,79.5027
000000007357.jpg,1,93.9236
000000007394.jpg,2,79.4288
000000007420.jpg,2,87.0978
000000007424.jpg,1,84.9429
000000007444.jpg,2,100.0
000000007452.jpg,5,52.42
000000007500.jpg,2,72.5606
000000007503.jpg,4,45.8797
000000007519.jpg,2,99.2891
000000007524.jpg,2,83.9333
000000007535.jpg,0,99.501
000000007539.jpg,0,100.0
000000007556.jpg,7,42.4626
000000007583.jpg,1,96.7116
000000007593.jpg,1,100.0
000000007594.jpg,1,93.2451
000000007596.jpg,0,99.7581
000000007603.jpg,0,100.0
000000007615.jpg,0,100.0
000000007621.jpg,0,99.0179
000000007623.jpg,2,71.5532
000000007627.jpg,1,82.2691
000000007629.jpg,1,71.7771
000000007642.jpg,4,51.3372
000000007650.jpg,3,43.0615
000000007653.jpg,1,100.0
000000007673.jpg,3,75.8363
000000007682.jpg,0,100.0
000000007685.jpg,3,41.5371
000000007689.jpg,2,99.9982
000000007690.jpg,1,98.8784
000000007710.jpg,3,55.6051
000000007726.jpg,1,81.416
000000007727.jpg,2,79.7994
000000007733.jpg,1,88.9736
000000007735.jpg,1,99.3708
000000007746.jpg,0,100.0
000000007757.jpg,1,92.8919
000000007758.jpg,2,73.7591
000000007782.jpg,1,64.9778
000000007789.jpg,0,100.0
000000007794.jpg,1,100.0
000000007809.jpg,1,100.0
000000007819.jpg,0,99.5456
000000007830.jpg,2,73.1289
000000007838.jpg,6,19.31
000000007839.jpg,1,79.8293
000000007853.jpg,0,100.0
000000007873.jpg,0,99.6747
000000007894.jpg,1,77.1417
000000007899.jpg,0,99.1686
000000007913.jpg,0,100.0
000000007921.jpg,1,83.0099
000000007932.jpg,1,97.5775
000000007938.jpg,1,92.2783
000000007946.jpg,1,94.9434
000000007952.jpg,2,67.5847
000000007953.jpg,1,96.2836
000000007961.jpg,4,70.6658
000000007988.jpg,3,45.9294
000000007989.jpg,5,22.6803
000000007996.jpg,2,96.5312
000000008010.jpg,3,45.4338
000000008014.jpg,2,88.1045
000000008019.jpg,1,63.1766
000000008024.jpg,1,100.0
000000008025.jpg,2,76.2303
000000008042.jpg,2,89.1732
000000008043.jpg,1,73.054
000000008053.jpg,2,75.8406
000000008055.jpg,0,100.0
000000008058.jpg,2,59.5762
000000008063.jpg,1,84.0198
000000008065.jpg,2,66.6821
000000008066.jpg,3,87.2979
000000008074.jpg,4,73.7324
000000008080.jpg,4,36.3862
000000008086.jpg,1,87.3884
000000008095.jpg,0,100.0
000000008106.jpg,1,57.863
000000008114.jpg,0,100.0
000000008119.jpg,1,81.6178
000000008176.jpg,1,92.3846
000000008186.jpg,1,100.0
000000008187.jpg,2,56.7728
000000008188.jpg,1,73.1468
000000008190.jpg,3,70.8208
000000008191.jpg,2,81.7539
000000008204.jpg,4,43.9867
000000008238.jpg,1,72.6266
000000008284.jpg,1,100.0
000000008285.jpg,3,62.4001
000000008294.jpg,2,84.2221
000000008297.jpg,1,98.0573
000000008305.jpg,3,53.4449
000000008309.jpg,1,84.7159
000000008314.jpg,0,100.0
000000008321.jpg,3,45.9554
